AppHostSvc;40;2.73
a2AntiMalware;37;4.78
AntiVirMailService;59;3.54
AntiVirWebService;81;3.98
simptcp;12;3.83
KOBIL Container Encryption Control1;1;4
KOBIL_MSDI;1;4
LiveUpdate;3;3.67
Netzmanager Service;5;4.4
Norton Ghost;7;4.86
SvcOnlineArmor;9;4.78
PCToolsSSDMonitorSvc;4;2.75
Sage_Classic_Line_Database_40;1;4
Registry;1;4
StarMoney Business 4.0 OnlineUpdate;1;5
Symantec SymSnap VSS Provider;2;3.5
TuneUp.Defrag;11;3.64
TuneUp.UtilitiesSvc;95;3.79
adpu160m;1;1
avast! Antivirus;410;4.07
ATI Smart;15;2.33
Irmon;9;2
TermService;66;2.59
W3SVC;14;3.14
MsMpSvc;54;3.93
Diskeeper;47;4.64
AESTFilters;18;2.61
astcc;1;0
HDDSvc;3;4.67
YahooAUService;11;2.36
Akamai;29;2.48
avg9wd;3;3
cFosSpeedS;76;4.68
MWLService;4;3
npggsvc;5;4.6
getPlusHelper;1;1
IDriverT;15;3.27
KMService;22;3.45
MBAMService;71;4.49
Microsoft SharePoint Workspace Audit Service;10;2.3
ose64;5;2.6
SwitchBoard;4;2.75
FLEXnet Licensing Service;21;1.81
ekrn;154;3.92
avg9emc;5;4.8
avgfws9;4;3.25
AVGIDSAgent;34;3.88
N360;42;4.79
hpqcxs08;14;2.64
Creative ALchemy AL6 Licensing Service;7;3.86
Creative Audio Engine Licensing Service;8;3.63
clr_optimization_v4.0.30319_32;113;2.85
Ati External Event Utility;7;2.43
CTAudSvcService;24;4.75
ehstart;8;2.75
UPnPService;3;3.33
Abiosdsk;6;2
PnkBstrA;41;3.15
ADSMService;4;3
MOBKbackup;3;2.67
AAV UpdateService;7;3.57
MSSQL$SQLEXPRESS;9;4.22
Nero BackItUp Scheduler 4.0;15;1.6
btwdins;25;2.92
ATService;3;4
odserv;27;2.52
HP Health Check Service;18;1.94
CCALib8;2;4
SbieSvc;24;4.63
AVP;137;4.55
ABBYY.Licensing.FineReader.Corporate.10.0;4;4.25
Lavasoft Ad-Aware Service;5;3
TGCM_ImportWiFiSvc;1;1
avast! Mail Scanner;11;4
avast! Web Scanner;10;3.9
FirebirdGuardianDefaultInstance;6;3.17
FirebirdServerDefaultInstance;5;3.6
RoxWatch12;3;3.33
fsssvc;15;2.67
IGDCTRL;9;4.89
McComponentHostService;7;2
Creative Service for CDROM Access;3;1.67
RapportMgmtService;8;4
